step,rs_random,rs_greedy
0,64512,64512
1,1408,1408
2,1408,336
3,384,184
4,184,184
5,184,184
6,192,184
7,200,184
8,200,184
9,200,184
10,184,184
11,200,184
12,192,184
13,200,184
14,200,184
15,200,184
16,200,184
17,200,184
18,200,184
19,200,184
20,200,184
21,192,184
22,192,184
23,192,184
24,192,184
25,192,184
26,192,184
27,192,184
28,192,184
29,192,184
30,192,184
31,192,184
32,192,184
33,192,184
34,192,184
35,192,184
36,192,184
37,192,184
38,192,184
39,192,184
40,192,184
41,192,184
42,192,184
43,192,184
44,184,184
45,184,184
46,184,184
47,184,184
48,184,184
49,184,184
50,184,184
