step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,0,1;0,1,0,1","0,0,0,1;0,1,0,1"
2,"0,0,0,1;0,1,0,1","0,0,0,0;1,0,0,1"
3,"1,0,1,0;1,1,1,1","0,0,1,1;0,1,1,0"
4,"0,1,0,0;1,0,1,1","0,1,0,0;1,0,1,1"
5,"1,0,1,0;1,1,1,1","0,0,0,1;0,1,0,1"
6,"0,0,1,0;1,1,1,0","0,0,0,1;0,1,0,1"
7,"0,1,1,1;1,1,0,0","0,1,0,0;1,0,1,1"
8,"1,0,0,0;1,1,0,1","0,0,0,1;0,1,0,1"
9,"0,0,0,1;0,1,0,1","0,0,0,1;0,1,0,1"
10,"0,0,1,0;1,1,1,0","0,1,0,0;1,0,1,1"
11,"1,0,0,0;1,1,0,1","0,0,0,1;0,1,0,1"
12,"0,0,1,0;1,1,1,0","0,0,0,1;0,1,0,1"
13,"1,0,1,0;1,1,1,1","0,1,0,0;1,0,1,1"
14,"1,0,0,0;1,1,0,1","0,0,0,1;0,1,0,1"
15,"0,0,1,1;0,1,1,0","0,0,0,1;0,1,0,1"
16,"1,0,0,0;1,1,0,1","0,1,0,0;1,0,1,1"
17,"0,0,1,0;1,1,1,0","0,0,0,1;0,1,0,1"
18,"0,1,0,0;1,0,1,1","0,1,0,0;1,0,1,1"
19,"0,0,0,0;1,0,0,1","0,1,0,0;1,0,1,1"
20,"0,0,1,1;0,1,1,0","0,1,0,0;1,0,1,1"
21,"0,0,0,1;0,1,0,1","0,1,0,0;1,0,1,1"
22,"0,0,0,1;0,1,0,1","0,1,0,0;1,0,1,1"
23,"1,0,0,0;1,1,0,1","0,1,1,1;1,1,0,0"
24,"0,0,1,1;0,1,1,0","0,1,1,1;1,1,0,0"
25,"0,1,1,1;1,1,0,0","0,1,1,1;1,1,0,0"
26,"0,0,0,1;0,1,0,1","0,1,1,1;1,1,0,0"
27,"0,0,1,1;0,1,1,0","0,1,1,1;1,1,0,0"
28,"1,0,1,0;1,1,1,1","0,1,1,1;1,1,0,0"
29,"0,0,1,0;1,1,1,0","0,1,1,1;1,1,0,0"
30,"0,1,0,0;1,0,1,1","0,1,1,1;1,1,0,0"
31,"0,1,0,0;1,0,1,1","0,1,1,1;1,1,0,0"
32,"0,0,0,0;1,0,0,1","0,1,1,1;1,1,0,0"
33,"0,1,1,1;1,1,0,0","0,0,0,0;1,0,0,1"
34,"0,0,1,0;1,1,1,0","0,0,1,1;0,1,1,0"
35,"0,0,1,1;0,1,1,0","0,0,0,0;1,0,0,1"
36,"0,0,0,0;1,0,0,1","0,0,0,0;1,0,0,1"
37,"0,0,0,0;1,0,0,1","0,0,1,1;0,1,1,0"
38,"0,1,1,1;1,1,0,0","0,0,0,0;1,0,0,1"
39,"1,0,1,0;1,1,1,1","0,0,0,0;1,0,0,1"
40,"0,1,1,1;1,1,0,0","0,0,1,1;0,1,1,0"
41,"0,1,0,0;1,0,1,1","0,0,0,0;1,0,0,1"
42,"0,0,0,1;0,1,0,1","0,0,0,0;1,0,0,1"
43,"0,0,1,1;0,1,1,0","0,0,1,1;0,1,1,0"
44,"0,0,1,1;0,1,1,0","0,0,0,0;1,0,0,1"
45,"1,0,1,0;1,1,1,1","0,0,0,0;1,0,0,1"
46,"1,0,0,0;1,1,0,1","0,0,1,1;0,1,1,0"
47,"1,0,1,0;1,1,1,1","0,0,1,1;0,1,1,0"
48,"0,0,1,1;0,1,1,0","0,0,1,1;0,1,1,0"
49,"0,0,1,1;0,1,1,0","0,0,1,1;0,1,1,0"
50,"1,0,1,0;1,1,1,1","0,0,1,1;0,1,1,0"
