step,rs_random,rs_greedy
0,64512,64512
1,1472,736
2,736,184
3,384,184
4,200,184
5,200,184
6,200,184
7,200,184
8,200,184
9,192,184
10,192,184
11,192,184
12,192,184
13,192,184
14,192,184
15,192,184
16,192,184
17,192,184
18,192,184
19,192,184
20,192,184
21,192,184
22,192,184
23,192,184
24,192,184
25,192,184
26,192,184
27,192,184
28,192,184
29,192,184
30,192,184
31,192,184
32,192,184
33,192,184
34,192,184
35,192,184
36,192,184
37,184,184
38,184,184
39,184,184
40,184,184
41,184,184
42,184,184
43,184,184
44,184,184
45,184,184
46,184,184
47,184,184
48,184,184
49,184,184
50,184,184
