step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"1,1,1,0","0,0,1,0;0,0,1,1;0,1,1,1"
2,"0,0,1,0;0,0,1,1;0,1,1,1","0,0,0,1;1,0,1,0"
3,"1,0,0,1","0,1,0,1"
4,"0,1,0,0;1,0,1,1;1,1,0,1","0,1,0,1"
5,"1,0,0,1","1,1,1,0"
6,"0,0,0,0;0,1,1,0","0,1,0,1"
7,"0,0,0,1;1,0,1,0","1,1,1,0"
8,"1,0,0,0;1,1,0,0;1,1,1,1","0,1,0,1"
9,"0,0,0,1;1,0,1,0","1,1,1,0"
10,"1,0,0,0;1,1,0,0;1,1,1,1","1,1,1,0"
11,"1,0,0,1","1,1,1,0"
12,"0,1,0,0;1,0,1,1;1,1,0,1","1,1,1,0"
13,"0,1,0,1","1,1,1,0"
14,"0,1,0,1","1,1,1,0"
15,"0,0,0,0;0,1,1,0","1,1,1,0"
16,"1,0,0,1","1,1,1,0"
17,"0,0,0,1;1,0,1,0","0,1,0,1"
18,"1,0,0,0;1,1,0,0;1,1,1,1","0,1,0,1"
19,"1,0,0,1","0,1,0,1"
20,"1,0,0,1","0,1,0,1"
21,"0,0,0,1;1,0,1,0","0,1,0,1"
22,"0,0,0,1;1,0,1,0","0,1,0,1"
23,"1,0,0,1","0,0,1,0;0,0,1,1;0,1,1,1"
24,"0,0,0,0;0,1,1,0","0,0,1,0;0,0,1,1;0,1,1,1"
25,"0,0,1,0;0,0,1,1;0,1,1,1","0,0,1,0;0,0,1,1;0,1,1,1"
26,"0,0,0,0;0,1,1,0","0,0,0,0;0,1,1,0"
27,"1,0,0,0;1,1,0,0;1,1,1,1","0,0,1,0;0,0,1,1;0,1,1,1"
28,"0,0,0,1;1,0,1,0","0,0,1,0;0,0,1,1;0,1,1,1"
29,"0,1,0,1","0,0,1,0;0,0,1,1;0,1,1,1"
30,"0,0,1,0;0,0,1,1;0,1,1,1","0,0,1,0;0,0,1,1;0,1,1,1"
31,"0,0,0,0;0,1,1,0","0,0,1,0;0,0,1,1;0,1,1,1"
32,"0,0,0,1;1,0,1,0","0,0,1,0;0,0,1,1;0,1,1,1"
33,"0,0,0,1;1,0,1,0","0,0,0,0;0,1,1,0"
34,"1,1,1,0","0,0,0,0;0,1,1,0"
35,"0,1,0,1","0,0,0,0;0,1,1,0"
36,"0,0,1,0;0,0,1,1;0,1,1,1","0,0,0,0;0,1,1,0"
37,"0,1,0,1","0,0,0,0;0,1,1,0"
38,"0,1,0,0;1,0,1,1;1,1,0,1","0,0,0,0;0,1,1,0"
39,"0,0,1,0;0,0,1,1;0,1,1,1","0,0,0,0;0,1,1,0"
40,"0,1,0,1","0,0,0,0;0,1,1,0"
41,"1,0,0,1","0,0,0,0;0,1,1,0"
42,"1,1,1,0","0,0,0,1;1,0,1,0"
43,"1,0,0,0;1,1,0,0;1,1,1,1","0,0,0,1;1,0,1,0"
44,"1,0,0,0;1,1,0,0;1,1,1,1","0,0,0,1;1,0,1,0"
45,"0,0,1,0;0,0,1,1;0,1,1,1","0,0,0,1;1,0,1,0"
46,"0,1,0,1","0,0,0,1;1,0,1,0"
47,"1,0,0,0;1,1,0,0;1,1,1,1","0,0,0,1;1,0,1,0"
48,"0,1,0,0;1,0,1,1;1,1,0,1","0,0,0,1;1,0,1,0"
49,"0,1,0,1","0,0,0,1;1,0,1,0"
50,"0,0,0,1;1,0,1,0","0,0,0,1;1,0,1,0"
