step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,0,"0,1,1,0;1,0,1,1;1,1,0,1",20,"0,0,0,0;1,1,0,0;1,1,1,0"
2,52,"0,1,0,0;1,0,0,0;1,0,0,1",0,"0,1,1,0;1,0,1,1;1,1,0,1"
3,83,"0,1,1,1;1,0,1,0;1,1,1,1",1,"0,1,1,0;1,0,1,1;1,1,0,1"
4,70,"0,0,0,1;0,0,1,1",2,"0,1,1,0;1,0,1,1;1,1,0,1"
5,95,"0,1,1,1;1,0,1,0;1,1,1,1",3,"0,1,1,0;1,0,1,1;1,1,0,1"
6,49,"0,1,0,0;1,0,0,0;1,0,0,1",4,"0,1,1,0;1,0,1,1;1,1,0,1"
7,67,"0,0,0,1;0,0,1,1",5,"0,1,1,0;1,0,1,1;1,1,0,1"
8,75,"0,0,0,1;0,0,1,1",6,"0,1,1,0;1,0,1,1;1,1,0,1"
9,76,"0,0,0,1;0,0,1,1",7,"0,1,1,0;1,0,1,1;1,1,0,1"
10,35,"0,0,0,0;1,1,0,0;1,1,1,0",8,"0,1,1,0;1,0,1,1;1,1,0,1"
11,102,"0,0,1,0;0,1,0,1",9,"0,1,1,0;1,0,1,1;1,1,0,1"
12,89,"0,1,1,1;1,0,1,0;1,1,1,1",10,"0,1,1,0;1,0,1,1;1,1,0,1"
13,30,"0,0,0,0;1,1,0,0;1,1,1,0",11,"0,1,1,0;1,0,1,1;1,1,0,1"
14,7,"0,1,1,0;1,0,1,1;1,1,0,1",12,"0,1,1,0;1,0,1,1;1,1,0,1"
15,99,"0,1,1,1;1,0,1,0;1,1,1,1",13,"0,1,1,0;1,0,1,1;1,1,0,1"
16,34,"0,0,0,0;1,1,0,0;1,1,1,0",14,"0,1,1,0;1,0,1,1;1,1,0,1"
17,53,"0,1,0,0;1,0,0,0;1,0,0,1",15,"0,1,1,0;1,0,1,1;1,1,0,1"
18,56,"0,1,0,0;1,0,0,0;1,0,0,1",16,"0,1,1,0;1,0,1,1;1,1,0,1"
19,109,"0,0,1,0;0,1,0,1",17,"0,1,1,0;1,0,1,1;1,1,0,1"
20,31,"0,0,0,0;1,1,0,0;1,1,1,0",18,"0,1,1,0;1,0,1,1;1,1,0,1"
