step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,10,"1,0,1,0",24,"0,0,0,1;0,1,0,1;1,1,0,0"
2,14,"0,0,1,1",18,"0,1,0,0;0,1,1,1"
3,8,"1,0,0,0;1,1,0,1",0,"1,1,1,0"
4,24,"0,0,0,1;0,1,0,1;1,1,0,0",6,"1,0,0,0;1,1,0,1"
5,26,"0,0,0,1;0,1,0,1;1,1,0,0",1,"1,1,1,0"
6,23,"0,1,1,0;1,1,1,1",2,"1,1,1,0"
7,21,"0,1,1,0;1,1,1,1",3,"0,0,1,0"
8,15,"0,0,0,0;1,0,0,1",4,"0,0,1,0"
9,5,"0,0,1,0",7,"1,0,0,0;1,1,0,1"
10,6,"1,0,0,0;1,1,0,1",12,"0,0,1,1"
