step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,4,"1,0,0,1",18,"0,0,0,0;0,1,0,1;1,1,1,0"
2,0,"0,0,1,1;1,1,0,1",15,"0,1,1,0;0,1,1,1"
3,19,"0,0,0,0;0,1,0,1;1,1,1,0",0,"0,0,1,1;1,1,0,1"
4,24,"0,0,0,1",1,"0,0,1,1;1,1,0,1"
5,18,"0,0,0,0;0,1,0,1;1,1,1,0",6,"0,1,0,0;1,1,1,1"
6,23,"1,0,0,0;1,0,1,0;1,1,0,0",2,"0,0,1,1;1,1,0,1"
7,21,"1,0,0,0;1,0,1,0;1,1,0,0",7,"0,1,0,0;1,1,1,1"
8,3,"1,0,0,1",3,"1,0,0,1"
9,17,"0,1,1,0;0,1,1,1",8,"0,1,0,0;1,1,1,1"
10,1,"0,0,1,1;1,1,0,1",4,"1,0,0,1"
