step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,0,0;1,1,1,1","0,0,0,1;1,0,0,0"
2,"1,0,1,0;1,1,0,0","1,1,1,0;0,1,0,1"
3,"1,1,0,1;1,0,0,1","1,1,0,1;0,1,0,1"
4,"1,0,0,1;0,1,1,1","0,0,0,0;1,1,1,1"
5,"1,1,0,1;0,1,0,1","1,1,0,1;1,0,0,1"
6,"0,1,0,0;0,0,1,0","0,0,0,1;1,1,1,0"
7,"1,0,1,1;1,0,0,0","0,1,0,0;0,0,1,0"
8,"0,0,1,1;0,0,0,0","1,0,0,1;0,1,1,1"
9,"1,0,1,1;0,1,1,0","1,0,1,0;1,1,0,0"
10,"1,1,1,0;0,1,0,1","1,0,1,1;0,1,1,0"
11,"0,0,0,1;1,1,1,0","0,0,1,1;0,0,0,0"
12,"0,0,0,1;1,0,0,0","1,0,1,1;1,0,0,0"
