step,selection_random_patterns_expanded,selection_greedy_patterns_expanded
1,"0,0,1,1;1,1,0,1","1,0,0,0;0,0,1,0"
2,"0,0,0,1;1,0,0,1","0,0,1,1;1,1,0,1"
3,"0,1,0,1;0,0,0,0","0,0,0,1;1,0,0,1"
4,"1,0,0,0;0,0,1,0","0,1,0,1;0,0,0,0"
5,"1,1,1,1;0,1,0,0","1,0,0,1;1,0,1,0"
6,"1,1,1,0;0,0,0,0","0,1,0,1;1,0,0,0"
7,"0,1,1,1;0,1,1,0","1,0,1,1;1,0,1,1"
8,"1,1,0,0;0,0,0,1","1,1,0,1;1,1,1,0"
9,"1,0,1,1;1,0,1,1","1,1,0,0;0,0,0,1"
10,"1,0,0,1;1,0,1,0","1,1,1,0;0,0,0,0"
11,"1,1,0,1;1,1,1,0","0,1,1,1;0,1,1,0"
12,"0,1,0,1;1,0,0,0","1,1,1,1;0,1,0,0"
