step,rs_random,rs_greedy
0,64512,64512
1,800,704
2,192,184
3,184,184
4,200,184
5,184,184
6,200,184
7,184,184
8,184,184
9,184,184
10,200,184
11,184,184
12,184,184
13,184,184
14,184,184
15,184,184
16,184,184
17,184,184
18,184,184
19,184,184
20,200,184
21,200,184
22,200,184
23,200,184
24,200,184
25,184,184
26,200,184
27,192,184
28,200,184
29,200,184
30,200,184
31,184,184
32,184,184
33,184,184
34,184,184
35,184,184
36,184,184
37,184,184
38,200,184
39,200,184
40,200,184
41,200,184
42,200,184
43,184,184
44,200,184
45,200,184
46,200,184
47,184,184
48,200,184
49,200,184
50,200,184
