step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,324,"0,0,0,0;0,1,0,1;1,1,1,0",300,"0,0,0,0;0,1,0,1;1,1,1,0"
2,320,"0,0,0,0;0,1,0,1;1,1,1,0",250,"0,1,1,0;0,1,1,1"
3,255,"0,1,1,0;0,1,1,1",0,"0,0,1,1;1,1,0,1"
4,306,"0,0,0,0;0,1,0,1;1,1,1,0",1,"0,0,1,1;1,1,0,1"
5,278,"0,1,1,0;0,1,1,1",100,"0,1,0,0;1,1,1,1"
6,58,"1,0,0,1",2,"0,0,1,1;1,1,0,1"
7,16,"0,0,1,1;1,1,0,1",101,"0,1,0,0;1,1,1,1"
8,312,"0,0,0,0;0,1,0,1;1,1,1,0",3,"0,0,1,1;1,1,0,1"
9,147,"0,1,0,0;1,1,1,1",102,"0,1,0,0;1,1,1,1"
10,190,"0,0,1,0",4,"0,0,1,1;1,1,0,1"
11,357,"1,0,0,0;1,0,1,0;1,1,0,0",103,"0,1,0,0;1,1,1,1"
12,377,"1,0,0,0;1,0,1,0;1,1,0,0",5,"0,0,1,1;1,1,0,1"
13,426,"0,0,0,1",104,"0,1,0,0;1,1,1,1"
14,353,"1,0,0,0;1,0,1,0;1,1,0,0",6,"0,0,1,1;1,1,0,1"
15,330,"0,0,0,0;0,1,0,1;1,1,1,0",105,"0,1,0,0;1,1,1,1"
16,297,"0,1,1,0;0,1,1,1",7,"0,0,1,1;1,1,0,1"
17,398,"1,0,0,0;1,0,1,0;1,1,0,0",106,"0,1,0,0;1,1,1,1"
18,394,"1,0,0,0;1,0,1,0;1,1,0,0",8,"0,0,1,1;1,1,0,1"
19,91,"1,0,0,1",107,"0,1,0,0;1,1,1,1"
20,383,"1,0,0,0;1,0,1,0;1,1,0,0",9,"0,0,1,1;1,1,0,1"
21,35,"0,0,1,1;1,1,0,1",108,"0,1,0,0;1,1,1,1"
22,345,"0,0,0,0;0,1,0,1;1,1,1,0",10,"0,0,1,1;1,1,0,1"
23,200,"1,0,1,1",109,"0,1,0,0;1,1,1,1"
24,234,"1,0,1,1",11,"0,0,1,1;1,1,0,1"
25,395,"1,0,0,0;1,0,1,0;1,1,0,0",110,"0,1,0,0;1,1,1,1"
26,136,"0,1,0,0;1,1,1,1",12,"0,0,1,1;1,1,0,1"
27,304,"0,0,0,0;0,1,0,1;1,1,1,0",111,"0,1,0,0;1,1,1,1"
28,249,"1,0,1,1",13,"0,0,1,1;1,1,0,1"
29,400,"0,0,0,1",112,"0,1,0,0;1,1,1,1"
30,212,"1,0,1,1",14,"0,0,1,1;1,1,0,1"
31,225,"1,0,1,1",113,"0,1,0,0;1,1,1,1"
32,265,"0,1,1,0;0,1,1,1",15,"0,0,1,1;1,1,0,1"
33,181,"0,0,1,0",114,"0,1,0,0;1,1,1,1"
34,33,"0,0,1,1;1,1,0,1",16,"0,0,1,1;1,1,0,1"
35,213,"1,0,1,1",115,"0,1,0,0;1,1,1,1"
36,341,"0,0,0,0;0,1,0,1;1,1,1,0",17,"0,0,1,1;1,1,0,1"
37,403,"0,0,0,1",116,"0,1,0,0;1,1,1,1"
38,77,"1,0,0,1",18,"0,0,1,1;1,1,0,1"
39,329,"0,0,0,0;0,1,0,1;1,1,1,0",117,"0,1,0,0;1,1,1,1"
40,414,"0,0,0,1",19,"0,0,1,1;1,1,0,1"
41,29,"0,0,1,1;1,1,0,1",118,"0,1,0,0;1,1,1,1"
42,79,"1,0,0,1",20,"0,0,1,1;1,1,0,1"
43,144,"0,1,0,0;1,1,1,1",119,"0,1,0,0;1,1,1,1"
44,349,"0,0,0,0;0,1,0,1;1,1,1,0",21,"0,0,1,1;1,1,0,1"
45,92,"1,0,0,1",120,"0,1,0,0;1,1,1,1"
46,334,"0,0,0,0;0,1,0,1;1,1,1,0",22,"0,0,1,1;1,1,0,1"
47,113,"0,1,0,0;1,1,1,1",121,"0,1,0,0;1,1,1,1"
48,196,"0,0,1,0",23,"0,0,1,1;1,1,0,1"
49,284,"0,1,1,0;0,1,1,1",122,"0,1,0,0;1,1,1,1"
50,183,"0,0,1,0",24,"0,0,1,1;1,1,0,1"
