step,selection_random,selection_random_patterns_expanded,selection_greedy,selection_greedy_patterns_expanded
1,170,"0,0,0,1;0,1,0,1;1,1,0,0",160,"0,0,0,1;0,1,0,1;1,1,0,0"
2,174,"0,0,0,1;0,1,0,1;1,1,0,0",120,"0,1,0,0;0,1,1,1"
3,168,"0,0,0,1;0,1,0,1;1,1,0,0",0,"1,1,1,0"
4,185,"1,0,1,1",40,"1,0,0,0;1,1,0,1"
5,114,"0,0,0,0;1,0,0,1",1,"1,1,1,0"
6,141,"0,1,1,0;1,1,1,1",2,"1,1,1,0"
7,134,"0,1,0,0;0,1,1,1",3,"1,1,1,0"
8,127,"0,1,0,0;0,1,1,1",4,"1,1,1,0"
9,125,"0,1,0,0;0,1,1,1",5,"1,1,1,0"
10,186,"1,0,1,1",6,"1,1,1,0"
11,151,"0,1,1,0;1,1,1,1",7,"1,1,1,0"
12,36,"0,0,1,0",8,"1,1,1,0"
13,146,"0,1,1,0;1,1,1,1",9,"1,1,1,0"
14,83,"0,0,1,1",10,"1,1,1,0"
15,163,"0,0,0,1;0,1,0,1;1,1,0,0",11,"1,1,1,0"
16,140,"0,1,1,0;1,1,1,1",20,"0,0,1,0"
17,60,"1,0,1,0",21,"0,0,1,0"
18,176,"0,0,0,1;0,1,0,1;1,1,0,0",41,"1,0,0,0;1,1,0,1"
19,103,"0,0,0,0;1,0,0,1",12,"1,1,1,0"
20,155,"0,1,1,0;1,1,1,1",13,"1,1,1,0"
21,95,"0,0,1,1",14,"1,1,1,0"
22,81,"0,0,1,1",15,"1,1,1,0"
23,74,"1,0,1,0",42,"1,0,0,0;1,1,0,1"
24,41,"1,0,0,0;1,1,0,1",16,"1,1,1,0"
25,64,"1,0,1,0",17,"1,1,1,0"
26,4,"1,1,1,0",18,"1,1,1,0"
27,65,"1,0,1,0",19,"1,1,1,0"
28,62,"1,0,1,0",43,"1,0,0,0;1,1,0,1"
29,32,"0,0,1,0",44,"1,0,0,0;1,1,0,1"
30,196,"1,0,1,1",22,"0,0,1,0"
